product_id,name,brand,price_eur,category,sub_category,style_category,price_range,image_url,image_score,selected
,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,Riho,1629.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-160x70cm-acryl-rechts-in-hoek-glans-wit-sw547802.jpg,9,True
,"Riho Valor half vrijstaand ligbad – mat wit, wit",Riho,3796.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/79d1cb2a37fd5052e1744aeb6d8930b1.jpg/riho-valor-half-vrijstaand-ligbad-180x80x56cm-half-vrijstaand-solid-surface-mat-wit-sw416724.jpg,9,True
,Royal Plaza Edolo half vrijstaand bad ovaal x vrijstaande muurversie wit – wit,Royal Plaza,1203.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/galvano/400x400/D130001001565969.jpg/royal-plaza-edolo-half-vrijstaand-bad-ovaal-175-x-85cm-vrijstaande-muurversie-wit-sw917796.jpg,9,True
,Royal Plaza Violeta Bad,Royal Plaza,3329.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/galvano/400x400/D130001001474426.jpg/royal-plaza-violeta-bad-half-vrijstaand-160x70cm-mat-groen-sw1075527.jpg,9,True
,Villeroy & Boch Loop & friends half vrijstaand bad,Villeroy & Boch,1893.01,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/0842c5ee5578e97202b09c011111b9f3.jpg/villeroy-boch-loop-friends-half-vrijstaand-bad-180x80cm-hoek-rechts-acryl-stone-white-mat-sw762323.jpg,9,True
,Villeroy & Boch Loop & friends half vrijstaand bad – wit,Villeroy & Boch,1365.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/8473df40f159b71a727129f720edd229.jpg/villeroy-boch-loop-friends-half-vrijstaand-bad-180x80cm-hoek-links-acryl-wit-alpin-glans-sw762342.jpg,9,True
,Villeroy & Boch Loop & friends hoekbad,Villeroy & Boch,1554.07,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/1c0e58f716c25094bd15ff54b23280fd.jpg/villeroy-boch-loop-friends-hoekbad-170x75cm-hoek-rechts-acryl-stone-white-mat-sw917911.jpg,9,True
,Villeroy & Boch Loop & friends hoekbad – wit,Villeroy & Boch,1362.09,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/1c0e58f716c25094bd15ff54b23280fd.jpg/villeroy-boch-loop-friends-hoekbad-170x75cm-hoek-rechts-acryl-wit-alpin-glans-sw917898.jpg,9,True
,Villeroy & Boch Oberon 2.1 Back-to-wall bad voor hoekinbouw links – wit,Villeroy & Boch,2127.37,Bathtub,,premium,premium,https://static.rorix.nl/image/product/galvano/400x400/D130001001569644.jpg/villeroy-boch-oberon-2.1-back-to-wall-bad-voor-hoekinbouw-links-1800-x-800-mm-glans-wit-alpin-wit--sw957888.jpg,9,True
,Wisa Tirano Bad Offset 160x90cm Rechts Wit – wit,Unknown,494.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/galvano/400x400/D130001001175876.jpeg/wisa-tirano-bad-offset-160x90cm-rechts-wit-sw48795.jpeg,9,True
,Xellanz Marinella zitbad 103x65x52 wit – wit,Unknown,132.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/overig/400x400/509aa7cd11d9d.jpg/xellanz-marinella-zitbad-103x65x52-wit-ha436370.jpg,9,True
,Xellanz Santino SQ inbouw duo ligbad 180x80x49 cm acryl glans wit – wit,Unknown,390.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/overig/400x400/5819ec342ed93.jpg/xellanz-santino-sq-inbouw-duo-ligbad-180x80x49-cm-acryl-glans-wit-sw75881.jpg,9,True
,"Xellanz Santino SQ inbouw duo ligbad 180x80x49 cm mat wit – mat wit, wit",Unknown,581.99,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/5819ec342ed93.jpg/xellanz-santino-sq-inbouw-duo-ligbad-180x80x49-cm-mat-wit-sw643232.jpg,9,True
,Xellanz Santino SQ inbouw duo ligbad 190x90x49 cm acryl glans wit – wit,Unknown,411.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/overig/400x400/836add9c854c9f1d778383da8cc76401.jpg/xellanz-santino-sq-inbouw-duo-ligbad-190x90x49-cm-acryl-glans-wit-sw295877.jpg,9,True
,Xenz Luchtsysteem ingebouwd in vrijstaand bad zichtdelen in chroom – chroom,Unknown,,Bathtub,,modern_minimalist,unknown,https://static.rorix.nl/image/product/overig/400x400/fb0d4827c3f59db831cee18c1896a686.jpg/xenz-luchtsysteem-ingebouwd-in-vrijstaand-bad-zichtdelen-in-chroom-sw382546.jpg,9,True
,"Duravit Luv half vrijstaand bad 180x95cm mat wit – mat wit, wit",Duravit,3614.88,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/ceafc42cdcb31ece2107c90b44a8c314.jpg/duravit-luv-half-vrijstaand-bad-180x95cm-mat-wit-sw228000.jpg,9,True
,"Go by Van Marcke D-Shape Design halfvrijstaand bad back to wall – mat wit, wit",Unknown,1700.99,Bathtub,,premium,premium,https://static.rorix.nl/image/product/van-marcke/400x400/d2137ee7f15de54d0515eb60d2e24d1d.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-back-to-wall-180x80cm-acryl-mat-wit-sw1009239.jpg,9,True
,"Go by Van Marcke D-Shape Design – mat wit, wit",Ink,1574.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/van-marcke/400x400/5dcdc04510893a2b7e6de50f075fd802.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-mat-wit-sw1009236.jpg,9,True
,Go by Van Marcke D-Shape Design – wit,Ink,1048.99,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/van-marcke/400x400/8141eae67fd10fa661c5cf0800d6d36f.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-glans-wit-sw1009238.jpg,9,True
,"Ideavit Solidnova half vrijstaand bad – mat wit, wit",Ink,4900.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/b44f29392e94078aaaf96c426413c05c.jpg/ideavit-solidnova-half-vrijstaand-bad-180x80x56cm-solid-surface-hoek-links-mat-wit-sw857504.jpg,9,True
,"Looox Bath collection hoekbad – mat wit, wit",Ink,1632.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/71c602ee4f341a9d32b2423dd188cd9d.jpg/looox-bath-collection-hoekbad-170x70x55cm-links-mat-wit-sw809936.jpg,9,True
,Looox Bath collection hoekbad – wit,Unknown,1458.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/b0e9c2ba774aafc31a7d3409796037ba.jpg/looox-bath-collection-hoekbad-170x70x55cm-rechts-wit-glans-sw810126.jpg,9,True
,"Looox Cool semi-vrijstaand ligbad – mat wit, wit",Unknown,1483.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/f1d9ad54b68d3fd2c7c17616b6566e6c.jpg/looox-cool-semi-vrijstaand-ligbad-170x80x57cm-acryl-mat-wit-sw730663.jpg,9,True
,RIHO Aryl ligbad 140x90cm Hoekopstelling Links Wit glans – wit,Riho,530.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/81b884b90eb8d2b0b5152d950cdb5a57.jpg/riho-aryl-ligbad-140x90cm-hoekopstelling-links-wit-glans-310519.jpg,9,True
,RIHO Aryl ligbad 153x100cm Hoekopstelling Rechts Wit glans – wit,Riho,630.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/e2da650bda8a93abc23721c38b2dcadd.jpg/riho-aryl-ligbad-153x100cm-hoekopstelling-rechts-wit-glans-312037.jpg,9,True
,RIHO Neo hoekbad 140x140cm Wit glans – wit,Riho,870.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/52cbd3981cc35.jpg/riho-neo-hoekbad-140x140cm-wit-glans-310529.jpg,9,True
,Riho Desire halfvrijstaand bad – wit,Riho,2443.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/9135b2d01e29c21acffa013927e23f2c.jpg/riho-desire-halfvrijstaand-bad-180x84cm-middenopstelling-met-chromen-badvuller-acryl-wit-glans-sw370625.jpg,9,True
,Riho Desire hoekbad – wit,Riho,2394.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/04d1a970ba7b60a982261f2080448349.jpg/riho-desire-hoekbad-170x77cm-hoekopstelling-links-met-chromen-badvuller-acryl-wit-hoogglans-sw925251.jpg,9,True
,Riho Devotion halfvrijstaand bad – wit,Riho,3649.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/191088cbd5e2f3489f160b16f8485cb7.jpg/riho-devotion-halfvrijstaand-bad-180x80cm-middenopstelling-sparkle-met-chromen-badvuller-acryl-wit-hoogglans-sw547965.jpg,9,True
,Riho Modesty vrijstaand bad – wit,Riho,4276.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/07f7e0476f8d29fc144cc621ddc683d7.jpg/riho-modesty-vrijstaand-bad-170x76cm-sparkle-met-chromen-badvuller-acryl-wit-velvet-sw548017.jpg,9,True
,Riho Phatos Halfvrijstaand Bad – grijs,Riho,2328.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/457c55ec04c5a5aef1268c04bb620d9f.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-acryl-mat-stone-grey-grijs--sw1185381.jpg,9,True
,"Riho Phatos Halfvrijstaand Bad – mat wit, wit",Riho,2112.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/4991ca55062e2f60aa5f949205bc4bba.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-acryl-velvet-mat-wit-sw1185382.jpg,9,True
,Riho Phatos Halfvrijstaand Bad – wit,Riho,1784.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/4991ca55062e2f60aa5f949205bc4bba.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-acryl-glans-wit-sw1185380.jpg,9,True
,Riho Phatos Halfvrijstaand bad – grijs,Riho,2328.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/3debe1533319793f3ca6a9c0b9792f50.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-links-acryl-mat-stone-grey-grijs--sw1185384.jpg,9,True
,"Riho Phatos Halfvrijstaand bad – mat wit, wit",Riho,2112.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/7df5f63df04c161425f27a5284d155f2.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-rechts-acryl-mat-wit-sw1185388.jpg,9,True
,Riho Phatos Halfvrijstaand bad – wit,Riho,1784.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/7df5f63df04c161425f27a5284d155f2.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-hoek-rechts-acryl-glans-wit-sw1185386.jpg,9,True
,Riho Rethink Cubic halfvrijstaand bad met panelen – wit,Riho,1629.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/fe2364a2d06e2f49315f67219016c929.jpg/riho-rethink-cubic-halfvrijstaand-bad-met-panelen-160x70cm-acryl-rechts-in-hoek-glans-wit-sw547802.jpg,9,True
,"Riho Valor half vrijstaand ligbad – mat wit, wit",Riho,3796.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/79d1cb2a37fd5052e1744aeb6d8930b1.jpg/riho-valor-half-vrijstaand-ligbad-180x80x56cm-half-vrijstaand-solid-surface-mat-wit-sw416724.jpg,9,True
,Royal Plaza Edolo half vrijstaand bad ovaal x vrijstaande muurversie wit – wit,Royal Plaza,1203.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/galvano/400x400/D130001001565969.jpg/royal-plaza-edolo-half-vrijstaand-bad-ovaal-175-x-85cm-vrijstaande-muurversie-wit-sw917796.jpg,9,True
,Royal Plaza Violeta Bad,Royal Plaza,3329.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/galvano/400x400/D130001001474426.jpg/royal-plaza-violeta-bad-half-vrijstaand-160x70cm-mat-groen-sw1075527.jpg,9,True
,Villeroy & Boch Loop & friends half vrijstaand bad,Villeroy & Boch,1893.01,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/0842c5ee5578e97202b09c011111b9f3.jpg/villeroy-boch-loop-friends-half-vrijstaand-bad-180x80cm-hoek-rechts-acryl-stone-white-mat-sw762323.jpg,9,True
,Villeroy & Boch Loop & friends half vrijstaand bad – wit,Villeroy & Boch,1365.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/8473df40f159b71a727129f720edd229.jpg/villeroy-boch-loop-friends-half-vrijstaand-bad-180x80cm-hoek-links-acryl-wit-alpin-glans-sw762342.jpg,9,True
,Villeroy & Boch Loop & friends hoekbad,Villeroy & Boch,1554.07,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/1c0e58f716c25094bd15ff54b23280fd.jpg/villeroy-boch-loop-friends-hoekbad-170x75cm-hoek-rechts-acryl-stone-white-mat-sw917911.jpg,9,True
,Villeroy & Boch Loop & friends hoekbad – wit,Villeroy & Boch,1362.09,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/1c0e58f716c25094bd15ff54b23280fd.jpg/villeroy-boch-loop-friends-hoekbad-170x75cm-hoek-rechts-acryl-wit-alpin-glans-sw917898.jpg,9,True
,Villeroy & Boch Oberon 2.1 Back-to-wall bad voor hoekinbouw links – wit,Villeroy & Boch,2127.37,Bathtub,,premium,premium,https://static.rorix.nl/image/product/galvano/400x400/D130001001569644.jpg/villeroy-boch-oberon-2.1-back-to-wall-bad-voor-hoekinbouw-links-1800-x-800-mm-glans-wit-alpin-wit--sw957888.jpg,9,True
,Wisa Tirano Bad Offset 160x90cm Rechts Wit – wit,Unknown,494.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/galvano/400x400/D130001001175876.jpeg/wisa-tirano-bad-offset-160x90cm-rechts-wit-sw48795.jpeg,9,True
,Xellanz Marinella zitbad 103x65x52 wit – wit,Unknown,132.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/overig/400x400/509aa7cd11d9d.jpg/xellanz-marinella-zitbad-103x65x52-wit-ha436370.jpg,9,True
,Xellanz Santino SQ inbouw duo ligbad 180x80x49 cm acryl glans wit – wit,Unknown,390.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/overig/400x400/5819ec342ed93.jpg/xellanz-santino-sq-inbouw-duo-ligbad-180x80x49-cm-acryl-glans-wit-sw75881.jpg,9,True
,"Xellanz Santino SQ inbouw duo ligbad 180x80x49 cm mat wit – mat wit, wit",Unknown,581.99,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/5819ec342ed93.jpg/xellanz-santino-sq-inbouw-duo-ligbad-180x80x49-cm-mat-wit-sw643232.jpg,9,True
,Xellanz Santino SQ inbouw duo ligbad 190x90x49 cm acryl glans wit – wit,Unknown,411.99,Bathtub,,budget_functional,budget,https://static.rorix.nl/image/product/overig/400x400/836add9c854c9f1d778383da8cc76401.jpg/xellanz-santino-sq-inbouw-duo-ligbad-190x90x49-cm-acryl-glans-wit-sw295877.jpg,9,True
,Xenz Luchtsysteem ingebouwd in vrijstaand bad zichtdelen in chroom – chroom,Unknown,,Bathtub,,modern_minimalist,unknown,https://static.rorix.nl/image/product/overig/400x400/fb0d4827c3f59db831cee18c1896a686.jpg/xenz-luchtsysteem-ingebouwd-in-vrijstaand-bad-zichtdelen-in-chroom-sw382546.jpg,9,True
,"Duravit Luv half vrijstaand bad 180x95cm mat wit – mat wit, wit",Duravit,3614.88,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/ceafc42cdcb31ece2107c90b44a8c314.jpg/duravit-luv-half-vrijstaand-bad-180x95cm-mat-wit-sw228000.jpg,9,True
,"Go by Van Marcke D-Shape Design halfvrijstaand bad back to wall – mat wit, wit",Unknown,1700.99,Bathtub,,,,https://static.rorix.nl/image/product/van-marcke/400x400/d2137ee7f15de54d0515eb60d2e24d1d.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-back-to-wall-180x80cm-acryl-mat-wit-sw1009239.jpg,9,True
,"Go by Van Marcke D-Shape Design – mat wit, wit",Ink,1574.0,Bathtub,,,,https://static.rorix.nl/image/product/van-marcke/400x400/5dcdc04510893a2b7e6de50f075fd802.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-mat-wit-sw1009236.jpg,9,True
,Go by Van Marcke D-Shape Design – wit,Ink,1048.99,Bathtub,,,,https://static.rorix.nl/image/product/van-marcke/400x400/8141eae67fd10fa661c5cf0800d6d36f.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-glans-wit-sw1009238.jpg,9,True
,"Ideavit Solidnova half vrijstaand bad – mat wit, wit",Ink,4900.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/b44f29392e94078aaaf96c426413c05c.jpg/ideavit-solidnova-half-vrijstaand-bad-180x80x56cm-solid-surface-hoek-links-mat-wit-sw857504.jpg,9,True
,"Looox Bath collection hoekbad – mat wit, wit",Ink,1632.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/71c602ee4f341a9d32b2423dd188cd9d.jpg/looox-bath-collection-hoekbad-170x70x55cm-links-mat-wit-sw809936.jpg,9,True
,Looox Bath collection hoekbad – wit,Unknown,1458.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/b0e9c2ba774aafc31a7d3409796037ba.jpg/looox-bath-collection-hoekbad-170x70x55cm-rechts-wit-glans-sw810126.jpg,9,True
,"Looox Cool semi-vrijstaand ligbad – mat wit, wit",Unknown,1483.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/f1d9ad54b68d3fd2c7c17616b6566e6c.jpg/looox-cool-semi-vrijstaand-ligbad-170x80x57cm-acryl-mat-wit-sw730663.jpg,9,True
,RIHO Aryl ligbad 140x90cm Hoekopstelling Links Wit glans – wit,Riho,530.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/81b884b90eb8d2b0b5152d950cdb5a57.jpg/riho-aryl-ligbad-140x90cm-hoekopstelling-links-wit-glans-310519.jpg,9,True
,RIHO Aryl ligbad 153x100cm Hoekopstelling Rechts Wit glans – wit,Riho,630.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/e2da650bda8a93abc23721c38b2dcadd.jpg/riho-aryl-ligbad-153x100cm-hoekopstelling-rechts-wit-glans-312037.jpg,9,True
,RIHO Neo hoekbad 140x140cm Wit glans – wit,Riho,870.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/52cbd3981cc35.jpg/riho-neo-hoekbad-140x140cm-wit-glans-310529.jpg,9,True
,Riho Desire halfvrijstaand bad – wit,Riho,2443.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/9135b2d01e29c21acffa013927e23f2c.jpg/riho-desire-halfvrijstaand-bad-180x84cm-middenopstelling-met-chromen-badvuller-acryl-wit-glans-sw370625.jpg,9,True
,Riho Desire hoekbad – wit,Riho,2394.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/04d1a970ba7b60a982261f2080448349.jpg/riho-desire-hoekbad-170x77cm-hoekopstelling-links-met-chromen-badvuller-acryl-wit-hoogglans-sw925251.jpg,9,True
,Riho Devotion halfvrijstaand bad – wit,Riho,3649.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/191088cbd5e2f3489f160b16f8485cb7.jpg/riho-devotion-halfvrijstaand-bad-180x80cm-middenopstelling-sparkle-met-chromen-badvuller-acryl-wit-hoogglans-sw547965.jpg,9,True
,Riho Modesty vrijstaand bad – wit,Riho,4276.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/07f7e0476f8d29fc144cc621ddc683d7.jpg/riho-modesty-vrijstaand-bad-170x76cm-sparkle-met-chromen-badvuller-acryl-wit-velvet-sw548017.jpg,9,True
,Riho Phatos Halfvrijstaand Bad – grijs,Riho,2328.0,Bathtub,,,,https://static.rorix.nl/image/product/overig/400x400/457c55ec04c5a5aef1268c04bb620d9f.jpg/riho-phatos-halfvrijstaand-bad-170x80cm-acryl-mat-stone-grey-grijs--sw1185381.jpg,9,True
