post_title,post_content,post_excerpt,post_status,post_type,meta_url,meta_email,meta_phone,meta_type,meta_services,meta_address,categories
Mettler Toledo,<p>Lab balances and analytical equipment</p>,Lab balances and analytical equipment,draft,lab_supplier,https://www.mt.com,,,manufacturer,,,manufacturer
Sartorius AG,<p>Lab balances and bioprocess</p>,Lab balances and bioprocess,draft,lab_supplier,https://www.sartorius.com/en-us,,,manufacturer,,,manufacturer
Tektronix,<p>Test and measurement equipment</p>,Test and measurement equipment,draft,lab_supplier,https://www.tek.com,,,manufacturer,,,manufacturer
Fluke Biomedical,<p>Biomedical test equipment</p>,Biomedical test equipment,draft,lab_supplier,https://www.flukebiomedical.com,,,manufacturer,,,manufacturer
CSSL (Cambridge Scientific),<p>Lab equipment distributor</p>,Lab equipment distributor,draft,lab_supplier,https://www.cambridgescientific.com,,,distributor,,,distributor
Thomas Scientific,<p>Lab supplies distributor</p>,Lab supplies distributor,draft,lab_supplier,https://www.thomassci.com,,,distributor,,,distributor
Spectrum Chemical,<p>Chemicals and lab supplies</p>,Chemicals and lab supplies,draft,lab_supplier,https://www.spectrumchemical.com,,,manufacturer,,,manufacturer
Alfa Aesar,<p>Research chemicals and metals</p>,Research chemicals and metals,draft,lab_supplier,https://www.alfa.com,,,manufacturer,,,manufacturer
TCI America,<p>Organic chemicals</p>,Organic chemicals,draft,lab_supplier,https://www.tcichemicals.com,,,manufacturer,,,manufacturer
Oakwood Products,<p>Research chemicals</p>,Research chemicals,draft,lab_supplier,https://www.oakwoodchemical.com,,,manufacturer,,,manufacturer
GFS Chemicals,<p>Chemicals and reagents</p>,Chemicals and reagents,draft,lab_supplier,https://www.gfschemicals.com,,,manufacturer,,,manufacturer
Spectrum Laboratory Products,<p>Fine chemicals</p>,Fine chemicals,draft,lab_supplier,https://www.spectrallab.com,,,manufacturer,,,manufacturer
Avantor (VWR),<p>Global lab supplies</p>,Global lab supplies,draft,lab_supplier,https://avantorsciences.com,,,distributor,,,distributor
Binder,<p>Incubators and ovens</p>,Incubators and ovens,draft,lab_supplier,https://www.binder-world.com,,,manufacturer,,,manufacturer
Memmert,<p>Incubators and climate chambers</p>,Incubators and climate chambers,draft,lab_supplier,https://www.memmert.com,,,manufacturer,,,manufacturer
NuAire,<p>Biological safety cabinets</p>,Biological safety cabinets,draft,lab_supplier,https://www.nuaire.com,,,manufacturer,,,manufacturer
Labconco,<p>Fume hoods and enclosures</p>,Fume hoods and enclosures,draft,lab_supplier,https://www.labconco.com,,,manufacturer,,,manufacturer
Thermo Scientific,<p>Lab equipment brand</p>,Lab equipment brand,draft,lab_supplier,https://www.thermoscientific.com,,,manufacturer,,,manufacturer
Whatman,<p>Filtration products</p>,Filtration products,draft,lab_supplier,https://www.whatman.com,,,manufacturer,,,manufacturer
Nalgene,<p>Lab plasticware</p>,Lab plasticware,draft,lab_supplier,https://www.nalgene.com,,,manufacturer,,,manufacturer
VWR International,<p>Lab supplies distributor</p>,Lab supplies distributor,draft,lab_supplier,https://us.vwr.com/store,,,distributor,,,distributor
Biohit,<p>Pipettes and liquid handling</p>,Pipettes and liquid handling,draft,lab_supplier,https://www.biohit.com,,,manufacturer,,,manufacturer
Gilson,<p>Pipettes and purification</p>,Pipettes and purification,draft,lab_supplier,https://www.gilson.com,,,manufacturer,,,manufacturer
Heidolph,<p>Rotary evaporators</p>,Rotary evaporators,draft,lab_supplier,https://www.heidolph.com,,,manufacturer,,,manufacturer
Julabo,<p>Temperature control equipment</p>,Temperature control equipment,draft,lab_supplier,https://www.julabo.com,,,manufacturer,,,manufacturer
LAUDA,<p>Thermostats and chillers</p>,Thermostats and chillers,draft,lab_supplier,https://www.lauda.com,,,manufacturer,,,manufacturer
IKA,<p>Lab equipment and stirring</p>,Lab equipment and stirring,draft,lab_supplier,https://www.ika.com,,,manufacturer,,,manufacturer
Bosch,<p>Lab homogenizers</p>,Lab homogenizers,draft,lab_supplier,https://www.bosch.com,,,manufacturer,,,manufacturer
BioSpec Products,<p>Sample preparation</p>,Sample preparation,draft,lab_supplier,https://www.biospec.com,,,manufacturer,,,manufacturer
Denville Scientific,<p>Lab equipment</p>,Lab equipment,draft,lab_supplier,https://www.denvillescientific.com,,,manufacturer,,,manufacturer
USA Scientific,<p>Lab plastics</p>,Lab plastics,draft,lab_supplier,https://www.usascientific.com,,,manufacturer,,,manufacturer
Genesee Scientific,<p>Lab consumables</p>,Lab consumables,draft,lab_supplier,https://www.geneseesci.com,,,manufacturer,,,manufacturer
WWR (Westech),<p>Waste management for labs</p>,Waste management for labs,draft,lab_supplier,https://www.wwr.com,,,distributor,,,distributor
Triumvirate Environmental,<p>Lab cleaning and waste management</p>,Lab cleaning and waste management,draft,lab_supplier,https://www.triumvirate.com,,,service,,,service
Clean Harbors,<p>Lab waste disposal</p>,Lab waste disposal,draft,lab_supplier,https://www.cleanharbors.com,,,service,,,service
Veolia,<p>Environmental services</p>,Environmental services,draft,lab_supplier,https://www.veolia.com,,,service,,,service
Steris,<p>Lab sterilization services</p>,Lab sterilization services,draft,lab_supplier,https://www.steris.com,,,service,,,service
Ecolab,<p>Lab cleaning solutions</p>,Lab cleaning solutions,draft,lab_supplier,https://www.ecolab.com,,,service,,,service
Diversey,<p>Cleaning and hygiene</p>,Cleaning and hygiene,draft,lab_supplier,https://www.diversey.com,,,service,,,service
Procter & Gamble Professional,<p>Commercial cleaning products</p>,Commercial cleaning products,draft,lab_supplier,https://www.pgpro.com,,,service,,,service
3M Clean,<p>Cleaning products</p>,Cleaning products,draft,lab_supplier,https://www.3m.com/3M/en_US/cleaning-us/,,,manufacturer,,,manufacturer
Decon Labs,<p>Lab decontamination products</p>,Lab decontamination products,draft,lab_supplier,https://www.deconlabs.com,,,manufacturer,,,manufacturer
Cole-Parmer - Antylia Scientific,<p>Lab consumables</p>,Lab consumables,draft,lab_supplier,https://www.antyliascientific.com,,,manufacturer,,,manufacturer
Knight Scientific,<p>Lab supplies</p>,Lab supplies,draft,lab_supplier,https://www.knightscientific.com,,,distributor,,,distributor
Denville Scientific,<p>Centrifuges and equipment</p>,Centrifuges and equipment,draft,lab_supplier,https://www.denville.com,,,manufacturer,,,manufacturer
Benchmark Scientific,<p>Lab equipment</p>,Lab equipment,draft,lab_supplier,https://www.benchmarkscientific.com,,,manufacturer,,,manufacturer
Ohaus,<p>Lab balances and scales</p>,Lab balances and scales,draft,lab_supplier,https://www.ohaus.com,,,manufacturer,,,manufacturer
Adam Equipment,<p>Lab balances</p>,Lab balances,draft,lab_supplier,https://www.adamequipment.com,,,manufacturer,,,manufacturer
A&D Engineering,<p>Lab balances</p>,Lab balances,draft,lab_supplier,https://www.aandd.jp,,,manufacturer,,,manufacturer
Denver Instrument,<p>Analytical balances</p>,Analytical balances,draft,lab_supplier,https://www.denverinstrument.com,,,manufacturer,,,manufacturer
Scientific Industries,<p>Lab mixers and shakers</p>,Lab mixers and shakers,draft,lab_supplier,https://www.scientificind.com,,,manufacturer,,,manufacturer
VWR International,<p>Lab supplies</p>,Lab supplies,draft,lab_supplier,https://www.vwr.com,,,distributor,,,distributor
Spectrum Chemical Mfg,<p>Fine chemicals</p>,Fine chemicals,draft,lab_supplier,https://www.spectrumchemical.com,,,manufacturer,,,manufacturer
American Chemical Technologies,<p>Lab chemical supply</p>,Lab chemical supply,draft,lab_supplier,https://www.americanchemical.com,,,service,,,service
Chemglass,<p>Lab glassware</p>,Lab glassware,draft,lab_supplier,https://www.chemglass.com,,,manufacturer,,,manufacturer
Wilmad-LabGlass,<p>NMR and glassware</p>,NMR and glassware,draft,lab_supplier,https://www.wilmad.com,,,manufacturer,,,manufacturer
Quark Glass,<p>Custom glassware</p>,Custom glassware,draft,lab_supplier,https://www.quarkglass.com,,,manufacturer,,,manufacturer
Precision Glassblowing,<p>Custom glassware</p>,Custom glassware,draft,lab_supplier,https://www.precisionglassblowing.com,,,manufacturer,,,manufacturer
Wildcat Lab Glass,<p>Custom glassware</p>,Custom glassware,draft,lab_supplier,https://www.wildcatlabglass.com,,,manufacturer,,,manufacturer
